context,question,answer
"CREATE TABLE table_name_61 (gold VARCHAR, bronze VARCHAR)",What's the Gold that also has Bronze of Kim Sun-Bin?,"SELECT gold FROM table_name_61 WHERE bronze = ""kim sun-bin"""
"CREATE TABLE table_2886617_4 (nationality VARCHAR, nhl_team VARCHAR)",What country does the player who joined the Vancouver Canucks originally hail from?,"SELECT nationality FROM table_2886617_4 WHERE nhl_team = ""Vancouver Canucks"""
"CREATE TABLE table_name_47 (starts VARCHAR, driver VARCHAR, points VARCHAR)",What's the total starts with more points than 1 and the driver is Nasser Al-Attiyah?,"SELECT COUNT(starts) FROM table_name_47 WHERE driver = ""nasser al-attiyah"" AND points > 1"
"CREATE TABLE table_name_14 (grid INTEGER, laps VARCHAR, driver VARCHAR)",What is the grid total for bruce mclaren with over 73 laps?,"SELECT SUM(grid) FROM table_name_14 WHERE laps > 73 AND driver = ""bruce mclaren"""
"CREATE TABLE STUDENT (Age INTEGER, StuID VARCHAR, Sex VARCHAR); CREATE TABLE VOTING_RECORD (Election_Cycle VARCHAR)",Find the average age of female (sex is F) students who have secretary votes in the spring election cycle.,"SELECT AVG(T1.Age) FROM STUDENT AS T1 JOIN VOTING_RECORD AS T2 ON T1.StuID = SECRETARY_Vote WHERE T1.Sex = ""F"" AND T2.Election_Cycle = ""Spring"""
"CREATE TABLE table_250309_1 (models_produced VARCHAR, plant VARCHAR)",how many models produced where the plant is castle bromwich?,"SELECT COUNT(models_produced) FROM table_250309_1 WHERE plant = ""Castle Bromwich"""
"CREATE TABLE table_name_37 (total INTEGER, gold VARCHAR, bronze VARCHAR)",What is the total for the team with more than 2 golds and more than 0 bronze?,SELECT SUM(total) FROM table_name_37 WHERE gold > 2 AND bronze > 0
"CREATE TABLE professionals (role_code VARCHAR, street VARCHAR, city VARCHAR, state VARCHAR)","Which professionals live in a city containing the substring 'West'? List his or her role, street, city and state.","SELECT role_code, street, city, state FROM professionals WHERE city LIKE '%West%'"
"CREATE TABLE table_name_16 (mission VARCHAR, resident_country VARCHAR)",What is the mission for switzerland as a resident County?,"SELECT mission FROM table_name_16 WHERE resident_country = ""switzerland"""
"CREATE TABLE table_2553861_1 (league VARCHAR, playoffs VARCHAR)",Name the league for conference finals,"SELECT league FROM table_2553861_1 WHERE playoffs = ""Conference Finals"""
"CREATE TABLE table_name_19 (player VARCHAR, total VARCHAR)",Which player has a total of 160?,SELECT player FROM table_name_19 WHERE total = 160
"CREATE TABLE table_name_56 (money___ INTEGER, to_par VARCHAR, score VARCHAR)","Which money is the highest one that has a To par of –1, and a Score of 73-70-73-71=287?","SELECT MAX(money___) AS $__ FROM table_name_56 WHERE to_par = ""–1"" AND score = 73 - 70 - 73 - 71 = 287"
"CREATE TABLE table_name_38 (attendance VARCHAR, record VARCHAR)",How many people attended when the record was broken with 47–63?,"SELECT attendance FROM table_name_38 WHERE record = ""47–63"""
"CREATE TABLE table_name_77 (record VARCHAR, score VARCHAR)",What was the record at the game with a score of 21-16?,"SELECT record FROM table_name_77 WHERE score = ""21-16"""
"CREATE TABLE table_name_19 (score VARCHAR, partner VARCHAR)",What was the score when Mark parterned with lorenzo manta?,"SELECT score FROM table_name_19 WHERE partner = ""lorenzo manta"""
"CREATE TABLE table_name_82 (oberliga_südwest VARCHAR, oberliga_bayern VARCHAR)",Which Oberliga Südwest has an Oberliga Bayern of fc schweinfurt 05?,"SELECT oberliga_südwest FROM table_name_82 WHERE oberliga_bayern = ""fc schweinfurt 05"""
"CREATE TABLE table_name_40 (runner_up VARCHAR, tournament VARCHAR)",Name the runner-up for algarve tournament,"SELECT runner_up FROM table_name_40 WHERE tournament = ""algarve"""
"CREATE TABLE table_name_97 (liberal_party VARCHAR, conservative_party VARCHAR, labour_party VARCHAR)",What was the Liberal Party result from the election having a Conservative Party result of 16 (-1) and Labour of 6 (+2)?,"SELECT liberal_party FROM table_name_97 WHERE conservative_party = ""16 (-1)"" AND labour_party = ""6 (+2)"""
"CREATE TABLE table_name_77 (record VARCHAR, score VARCHAR)",Which record has a score of 7–6 (12)?,"SELECT record FROM table_name_77 WHERE score = ""7–6 (12)"""
"CREATE TABLE table_25721_3 (airdate VARCHAR, dave_ja_vu_viewers VARCHAR)",What was the airdate of the episode with 106000 dave ja vu viewers?,SELECT airdate FROM table_25721_3 WHERE dave_ja_vu_viewers = 106000
"CREATE TABLE table_name_38 (position VARCHAR, school VARCHAR, points VARCHAR)",What position does the winner from Ohio State with 412 points play?,"SELECT position FROM table_name_38 WHERE school = ""ohio state"" AND points = ""412"""
"CREATE TABLE table_name_52 (time_elapsed VARCHAR, launched VARCHAR, closest_approach VARCHAR)",What Time elapsed has both the Launched of 15 October 1997 and the Closest approach of 24 June 1999?,"SELECT time_elapsed FROM table_name_52 WHERE launched = ""15 october 1997"" AND closest_approach = ""24 june 1999"""
"CREATE TABLE table_name_53 (frequency VARCHAR, callsign VARCHAR)",What is the frequency for the station with DYBT as its callsign?,"SELECT frequency FROM table_name_53 WHERE callsign = ""dybt"""
"CREATE TABLE ship (lost_in_battle VARCHAR, name VARCHAR); CREATE TABLE battle (name VARCHAR, date VARCHAR, id VARCHAR)",List the name and date the battle that has lost the ship named 'Lettice' and the ship named 'HMS Atalanta',"SELECT T1.name, T1.date FROM battle AS T1 JOIN ship AS T2 ON T1.id = T2.lost_in_battle WHERE T2.name = 'Lettice' INTERSECT SELECT T1.name, T1.date FROM battle AS T1 JOIN ship AS T2 ON T1.id = T2.lost_in_battle WHERE T2.name = 'HMS Atalanta'"
"CREATE TABLE table_name_1 (round VARCHAR, time VARCHAR)",What is the number of rounds that took place for the fight that lasted 6:21?,"SELECT COUNT(round) FROM table_name_1 WHERE time = ""6:21"""
"CREATE TABLE table_name_49 (crowd INTEGER, away_team VARCHAR)",What is the smallest crowd that Footscray had as the away team?,"SELECT MIN(crowd) FROM table_name_49 WHERE away_team = ""footscray"""
"CREATE TABLE table_name_69 (country VARCHAR, team VARCHAR)",What country is the Eurasia Astana team from?,"SELECT country FROM table_name_69 WHERE team = ""eurasia astana"""
"CREATE TABLE table_name_46 (constructor VARCHAR, winning_driver VARCHAR, race VARCHAR)",What was the constructor when Jack Brabham was the driver at the Monaco Grand Prix?,"SELECT constructor FROM table_name_46 WHERE winning_driver = ""jack brabham"" AND race = ""monaco grand prix"""
"CREATE TABLE table_name_35 (points VARCHAR, try_bonus VARCHAR)",How many points were there when the try bonus was 2?,"SELECT points FROM table_name_35 WHERE try_bonus = ""2"""
"CREATE TABLE table_20539826_1 (mccain_percentage VARCHAR, county VARCHAR)",How many percent of the votes in Debaca did McCain get?,"SELECT mccain_percentage FROM table_20539826_1 WHERE county = ""DeBaca"""
"CREATE TABLE table_name_9 (overall VARCHAR, combined VARCHAR, downhill VARCHAR)",How many overalls has 1 combined and 24 downhills?,"SELECT overall FROM table_name_9 WHERE combined = ""1"" AND downhill = ""24"""
"CREATE TABLE table_name_83 (recorded VARCHAR, track VARCHAR, translation VARCHAR)",Name the song that has a track larger than 7 and means death.,"SELECT recorded FROM table_name_83 WHERE track > 7 AND translation = ""death"""
"CREATE TABLE table_name_21 (week INTEGER, game_site VARCHAR, attendance VARCHAR)","What was the first week when there was an attendance over 75,007 at Mile High Stadium?","SELECT MIN(week) FROM table_name_21 WHERE game_site = ""mile high stadium"" AND attendance > 75 OFFSET 007"
"CREATE TABLE table_name_80 (points INTEGER, position VARCHAR, played VARCHAR)","Which Points is the highest one that has a Position of 5, and a Played smaller than 18?",SELECT MAX(points) FROM table_name_80 WHERE position = 5 AND played < 18
"CREATE TABLE table_name_98 (date VARCHAR, opponent VARCHAR)",What is the date of the game when the opponent is the Cleveland Browns?,"SELECT date FROM table_name_98 WHERE opponent = ""cleveland browns"""
"CREATE TABLE table_name_24 (gold INTEGER, silver VARCHAR, bronze VARCHAR, total VARCHAR)","What is the lowest gold when there are 0 bronze and the total is less than 2, and silver is less than 0?",SELECT MIN(gold) FROM table_name_24 WHERE bronze = 0 AND total < 2 AND silver < 0
"CREATE TABLE table_name_35 (points INTEGER, races INTEGER)",What is the lowest number of points for Drivers that have raced in more than 16 Races?,SELECT MIN(points) FROM table_name_35 WHERE races > 16
"CREATE TABLE table_name_2 (flight_day VARCHAR, artist VARCHAR)",On what flight day was U2 played?,"SELECT flight_day FROM table_name_2 WHERE artist = ""u2"""
"CREATE TABLE table_name_77 (city VARCHAR, name VARCHAR)",What City is the Jal hotel in?,"SELECT city FROM table_name_77 WHERE name = ""jal hotel"""
"CREATE TABLE table_name_88 (country VARCHAR, player VARCHAR)",what is the country for geoff ogilvy?,"SELECT country FROM table_name_88 WHERE player = ""geoff ogilvy"""
"CREATE TABLE table_name_52 (player VARCHAR, round VARCHAR, school_club_team VARCHAR)","Which Player has a Round larger than 5, and a School/Club Team of bethune-cookman?","SELECT player FROM table_name_52 WHERE round > 5 AND school_club_team = ""bethune-cookman"""
"CREATE TABLE table_23575917_2 (scores VARCHAR, davids_team VARCHAR)",Name the scores for  david baddiel and maureen lipman,"SELECT COUNT(scores) FROM table_23575917_2 WHERE davids_team = ""David Baddiel and Maureen Lipman"""
"CREATE TABLE table_name_75 (track VARCHAR, recorded VARCHAR)",How many tracks were Recorded 1964-01-08?,"SELECT COUNT(track) FROM table_name_75 WHERE recorded = ""1964-01-08"""
"CREATE TABLE table_name_54 (visitor VARCHAR, record VARCHAR)",Who is the visitor with a record of 14–17–5?,"SELECT visitor FROM table_name_54 WHERE record = ""14–17–5"""
"CREATE TABLE table_26099252_1 (vp9___webm__ VARCHAR, h264 VARCHAR)","When h.264 is 9.0, how much is vp9 ( webm )","SELECT vp9___webm__ FROM table_26099252_1 WHERE h264 = ""9.0"""
"CREATE TABLE table_name_54 (loss VARCHAR, record VARCHAR)",Name the loss for 48-37,"SELECT loss FROM table_name_54 WHERE record = ""48-37"""
"CREATE TABLE table_20971444_3 (episode VARCHAR, rating__18_49_ VARCHAR)",Name the episode for 18-49 rating being 3.6,"SELECT COUNT(episode) FROM table_20971444_3 WHERE rating__18_49_ = ""3.6"""
"CREATE TABLE table_name_58 (nba_draft VARCHAR, college VARCHAR)",What is the NBA draft for ohio state?,"SELECT nba_draft FROM table_name_58 WHERE college = ""ohio state"""
"CREATE TABLE table_name_41 (october INTEGER, game VARCHAR)",Which game has the highest score in October with 9?,SELECT MAX(october) FROM table_name_41 WHERE game = 9
"CREATE TABLE table_name_41 (crowd VARCHAR, date VARCHAR, away_team VARCHAR)","What was the crowd size on 4 july 1981, and a Away team of essendon?","SELECT crowd FROM table_name_41 WHERE date = ""4 july 1981"" AND away_team = ""essendon"""
"CREATE TABLE table_name_88 (date VARCHAR, attendance VARCHAR)","I want to know the date with attendance of 35,763","SELECT date FROM table_name_88 WHERE attendance = ""35,763"""
"CREATE TABLE table_name_7 (southbridge VARCHAR, model VARCHAR)",What shows for Southbridge when the Model number is amd-640 chipset?,"SELECT southbridge FROM table_name_7 WHERE model = ""amd-640 chipset"""
"CREATE TABLE table_2387461_1 (assists_per_game VARCHAR, points_per_game VARCHAR)",How may assists per game have 7.7 points per game?,"SELECT assists_per_game FROM table_2387461_1 WHERE points_per_game = ""7.7"""
"CREATE TABLE table_name_17 (launched VARCHAR, spacecraft VARCHAR)",What launched has mariner 4 as the spacecraft?,"SELECT launched FROM table_name_17 WHERE spacecraft = ""mariner 4"""
"CREATE TABLE table_name_59 (german VARCHAR, hungarian VARCHAR, year VARCHAR, other VARCHAR)",What is the german total population after 1910 with an other total of 143 and 32 hungarians?,"SELECT german FROM table_name_59 WHERE year > 1910 AND other = ""143"" AND hungarian = ""32"""
"CREATE TABLE table_name_85 (batting_style VARCHAR, player VARCHAR)",What is the batting style of Makhaya Ntini?,"SELECT batting_style FROM table_name_85 WHERE player = ""makhaya ntini"""
"CREATE TABLE table_23286158_8 (record VARCHAR, location_attendance VARCHAR)","Name the record for rose garden 20,565 attendance","SELECT record FROM table_23286158_8 WHERE location_attendance = ""Rose Garden 20,565"""
"CREATE TABLE table_name_97 (date VARCHAR, plant_patent_number VARCHAR)",What date had the patent number US plant patent 12098?,"SELECT date FROM table_name_97 WHERE plant_patent_number = ""us plant patent 12098"""
"CREATE TABLE table_name_20 (circuit VARCHAR, winning_constructor VARCHAR, winning_driver VARCHAR)","What Circuit has a Winning constructor of bugatti, and a Winning driver of edward bret?","SELECT circuit FROM table_name_20 WHERE winning_constructor = ""bugatti"" AND winning_driver = ""edward bret"""
"CREATE TABLE table_name_72 (rookie_of_the_year VARCHAR, season VARCHAR)",Who was the Rookie of the Year for the Season in 2000?,SELECT rookie_of_the_year FROM table_name_72 WHERE season = 2000
"CREATE TABLE table_name_54 (district VARCHAR, constituency_number VARCHAR)",What district has 98 constituencies?,"SELECT district FROM table_name_54 WHERE constituency_number = ""98"""
"CREATE TABLE table_name_89 (date VARCHAR, home_team VARCHAR)",When did the home team of Richmond play?,"SELECT date FROM table_name_89 WHERE home_team = ""richmond"""
"CREATE TABLE table_name_15 (origin VARCHAR, final_destination VARCHAR)",What is the origin of the one whose final destination is Brandholmen?,"SELECT origin FROM table_name_15 WHERE final_destination = ""brandholmen"""
"CREATE TABLE table_name_34 (crowd INTEGER, venue VARCHAR)","In the game at Victoria Park, what was the number of people in the crowd?","SELECT SUM(crowd) FROM table_name_34 WHERE venue = ""victoria park"""
"CREATE TABLE table_11951237_1 (directed_by VARCHAR, series__number VARCHAR)",Who was the director of the Series 1 episode?,SELECT directed_by FROM table_11951237_1 WHERE series__number = 1
"CREATE TABLE table_160510_1 (modern_equivalent VARCHAR, province VARCHAR)","What are the modern equivalents for the province of ""hanju""?","SELECT modern_equivalent FROM table_160510_1 WHERE province = ""Hanju"""
"CREATE TABLE table_17058178_11 (high_rebounds VARCHAR, date VARCHAR)",Name the high reobounds for april 7,"SELECT high_rebounds FROM table_17058178_11 WHERE date = ""April 7"""
"CREATE TABLE table_name_48 (team VARCHAR, finish VARCHAR)",What is the name of the team with a finish of 19?,"SELECT team FROM table_name_48 WHERE finish = ""19"""
"CREATE TABLE table_name_31 (performer_1 VARCHAR, date VARCHAR)",Date of 8 july 1994 involves which performer 1?,"SELECT performer_1 FROM table_name_31 WHERE date = ""8 july 1994"""
"CREATE TABLE table_25479607_3 (fixed_charge___rs__kwh_ VARCHAR, unit__kwh__time_range VARCHAR)",What is the fixed charge for the user with a unit/time range of i-2: peak (18:30-22:30)?,"SELECT fixed_charge___rs__kwh_ FROM table_25479607_3 WHERE unit__kwh__time_range = ""I-2: Peak (18:30-22:30)"""
"CREATE TABLE table_name_43 (date VARCHAR, record VARCHAR)",What date was the record 21-11?,"SELECT date FROM table_name_43 WHERE record = ""21-11"""
"CREATE TABLE table_name_57 (engine_s_ VARCHAR, year VARCHAR, points VARCHAR)","Which engine(s) has a year of 1966, and a point of 42.","SELECT engine_s_ FROM table_name_57 WHERE year = 1966 AND points = ""42"""
"CREATE TABLE table_name_48 (catalogue VARCHAR, date VARCHAR)","Name the october 15, 2004 catalogue","SELECT catalogue FROM table_name_48 WHERE date = ""october 15, 2004"""
"CREATE TABLE table_name_94 (tuesday VARCHAR, saturday VARCHAR)",Which Tuesday has a Saturday of 土曜日 doyōbi?,"SELECT tuesday FROM table_name_94 WHERE saturday = ""土曜日 doyōbi"""
"CREATE TABLE table_name_68 (constructor VARCHAR, grid VARCHAR, laps VARCHAR)",I want the constructor for grid less than 20 and Laps of 6,SELECT constructor FROM table_name_68 WHERE grid < 20 AND laps = 6
"CREATE TABLE table_name_5 (laps INTEGER, driver VARCHAR)",How many Laps did Bob Wollek have?,"SELECT AVG(laps) FROM table_name_5 WHERE driver = ""bob wollek"""
"CREATE TABLE table_name_40 (socket VARCHAR, turbo VARCHAR)",What is the socked when the turbo is 8/8/10/11?,"SELECT socket FROM table_name_40 WHERE turbo = ""8/8/10/11"""
"CREATE TABLE table_name_88 (silver INTEGER, rank VARCHAR, gold VARCHAR, total VARCHAR)","What is the sum of sliver medals when there were 2 gold medals, less than 15 total medals, and the rank is greater than 5?",SELECT SUM(silver) FROM table_name_88 WHERE gold = 2 AND total < 15 AND rank > 5
"CREATE TABLE table_name_91 (title__english_ VARCHAR, number_of_season VARCHAR)",What is the English title for season 6?,SELECT title__english_ FROM table_name_91 WHERE number_of_season = 6
"CREATE TABLE table_name_29 (position VARCHAR, pick__number VARCHAR, nationality VARCHAR, nhl_team VARCHAR)","What position shows for canada, and an NHL team of new york islanders, and a Pick # of 113?","SELECT position FROM table_name_29 WHERE nationality = ""canada"" AND nhl_team = ""new york islanders"" AND pick__number = ""113"""
CREATE TABLE table_name_69 (Id VARCHAR),Tell me the 2008 of 2001 olympic games,"SELECT 2008 FROM table_name_69 WHERE 2011 = ""olympic games"""
"CREATE TABLE table_name_11 (number_of_electorates__2009_ INTEGER, district VARCHAR, name VARCHAR)",Count the Number of electorates (2009) that has a District of fatehpur and  jahanabad?,"SELECT SUM(number_of_electorates__2009_) FROM table_name_11 WHERE district = ""fatehpur"" AND name = ""jahanabad"""
"CREATE TABLE table_name_69 (points INTEGER, entrant VARCHAR, year VARCHAR)",after 1987 and entrant of first racing what is the highest points?,"SELECT MAX(points) FROM table_name_69 WHERE entrant = ""first racing"" AND year > 1987"
"CREATE TABLE table_name_91 (date VARCHAR, opponent VARCHAR)",What date has dallas cowboys as the opponent?,"SELECT date FROM table_name_91 WHERE opponent = ""dallas cowboys"""
"CREATE TABLE table_29871617_1 (name VARCHAR, family_name VARCHAR)",What are the names listed in the family  il-1f2?,"SELECT name FROM table_29871617_1 WHERE family_name = ""IL-1F2"""
"CREATE TABLE table_name_41 (venue VARCHAR, home_team VARCHAR)",Where did Footscray play as the home team?,"SELECT venue FROM table_name_41 WHERE home_team = ""footscray"""
"CREATE TABLE table_1341865_23 (party VARCHAR, incumbent VARCHAR)",Name the party with edward boland,"SELECT party FROM table_1341865_23 WHERE incumbent = ""Edward Boland"""
"CREATE TABLE table_name_37 (score VARCHAR, opponent VARCHAR)",What is the score of the tournament with younes el aynaoui as the opponent?,"SELECT score FROM table_name_37 WHERE opponent = ""younes el aynaoui"""
"CREATE TABLE table_name_2 (notes VARCHAR, position VARCHAR)",What were the notes when his position was 10th?,"SELECT notes FROM table_name_2 WHERE position = ""10th"""
"CREATE TABLE table_27403436_1 (us_viewers__million_ VARCHAR, written_by VARCHAR)",How many viewers watched the episode written by shana goldberg-meehan & greg malins? ,"SELECT us_viewers__million_ FROM table_27403436_1 WHERE written_by = ""Shana Goldberg-Meehan & Greg Malins"""
"CREATE TABLE table_13258806_2 (date VARCHAR, record VARCHAR)",When was the record of 0-1 set?,"SELECT date FROM table_13258806_2 WHERE record = ""0-1"""
"CREATE TABLE table_name_37 (away_team VARCHAR, venue VARCHAR)",What was the away teams score at Princes Park?,"SELECT away_team AS score FROM table_name_37 WHERE venue = ""princes park"""
"CREATE TABLE table_name_51 (airline VARCHAR, notes VARCHAR)",What is the Airline when the notes show aoc 135?,"SELECT airline FROM table_name_51 WHERE notes = ""aoc 135"""
"CREATE TABLE table_name_75 (area INTEGER, population VARCHAR, density VARCHAR, rank VARCHAR)","What is the lowest area when the density is greater than 234.77, the population is less than 965,040, and the rank is 32?",SELECT MIN(area) FROM table_name_75 WHERE density > 234.77 AND rank = 32 AND population < 965 OFFSET 040
"CREATE TABLE table_name_49 (opponents VARCHAR, team VARCHAR, year VARCHAR)","Which Opponents have a Team of arsenal, and a Year of 1963–64?","SELECT opponents FROM table_name_49 WHERE team = ""arsenal"" AND year = ""1963–64"""
"CREATE TABLE table_name_22 (scottish_cup VARCHAR, europe VARCHAR, league VARCHAR, years VARCHAR)","Which Scottish Cup has a League smaller than 561, Years of 1989–1995 1997–2001, and Europe smaller than 11?","SELECT COUNT(scottish_cup) FROM table_name_22 WHERE league < 561 AND years = ""1989–1995 1997–2001"" AND europe < 11"
"CREATE TABLE table_name_32 (event_2 VARCHAR, air_date VARCHAR)",What was the 2nd event aired on 8 June 2008?,"SELECT event_2 FROM table_name_32 WHERE air_date = ""8 june 2008"""
"CREATE TABLE table_name_3 (opponent VARCHAR, round VARCHAR, event VARCHAR)","Which Opponent has a Round larger than 1, and an Event of king of the cage 31?","SELECT opponent FROM table_name_3 WHERE round > 1 AND event = ""king of the cage 31"""
"CREATE TABLE table_27435931_1 (continent VARCHAR, country VARCHAR)",what is the continent in which the country russia is listed?,"SELECT continent FROM table_27435931_1 WHERE country = ""Russia"""
"CREATE TABLE table_name_78 (place VARCHAR, player VARCHAR)",WHAT IS THE PLACE WITH PLAYER mark o'meara?,"SELECT place FROM table_name_78 WHERE player = ""mark o'meara"""
"CREATE TABLE table_1342359_5 (candidates VARCHAR, district VARCHAR)", how many candidates with district being california 7,"SELECT COUNT(candidates) FROM table_1342359_5 WHERE district = ""California 7"""
"CREATE TABLE table_name_92 (genre VARCHAR, release_year_of_first_charted_record VARCHAR, country_of_origin VARCHAR)",Name the genre for release-year of firsst charted less than 1980 and origin of jamaica,"SELECT genre FROM table_name_92 WHERE release_year_of_first_charted_record < 1980 AND country_of_origin = ""jamaica"""
"CREATE TABLE table_249512_2 (a_ VARCHAR, county_ies__ VARCHAR, place_name VARCHAR)",How many counties have a place name of Macedonia?,"SELECT COUNT(county_ies__)[a_] FROM table_249512_2 WHERE place_name = ""Macedonia"""
"CREATE TABLE table_name_81 (number_of_contestants VARCHAR, cycle VARCHAR)","What is Number of Contestants, when Cycle is 4?",SELECT number_of_contestants FROM table_name_81 WHERE cycle = 4
"CREATE TABLE table_11944282_1 (allied_unrelated VARCHAR, component VARCHAR)",What is the total amount of allied-unrelated where the component is human capital?,"SELECT COUNT(allied_unrelated) FROM table_11944282_1 WHERE component = ""Human Capital"""
"CREATE TABLE table_name_7 (attendance INTEGER, record VARCHAR)",What is the lowest number of people in attendance when the record was 9–26?,"SELECT MIN(attendance) FROM table_name_7 WHERE record = ""9–26"""
"CREATE TABLE table_name_18 (record VARCHAR, loss VARCHAR)","For the Loss of Plesac (1-5), what is the Record?","SELECT record FROM table_name_18 WHERE loss = ""plesac (1-5)"""
"CREATE TABLE table_name_21 (capital VARCHAR, hangul VARCHAR)",What is the capital of the province with 양주 in Hangul?,"SELECT capital FROM table_name_21 WHERE hangul = ""양주"""
"CREATE TABLE table_name_16 (home VARCHAR, visitor VARCHAR)",What is the home team with the ny rangers as the visitor team?,"SELECT home FROM table_name_16 WHERE visitor = ""ny rangers"""
"CREATE TABLE table_name_8 (type VARCHAR, transfer_window VARCHAR, nat VARCHAR)",What type of transfer window is winter in Ita?,"SELECT type FROM table_name_8 WHERE transfer_window = ""winter"" AND nat = ""ita"""
"CREATE TABLE table_1346118_2 (incumbent VARCHAR, candidates VARCHAR)",Who was the incumbent when ran william b. oliver (d) unopposed?,"SELECT incumbent FROM table_1346118_2 WHERE candidates = ""William B. Oliver (D) Unopposed"""
"CREATE TABLE table_name_55 (date VARCHAR, result VARCHAR, battle VARCHAR)",What is the Date of the Bulgarian Victory at the Battle of Arcadiopolis?,"SELECT date FROM table_name_55 WHERE result = ""bulgarian victory"" AND battle = ""battle of arcadiopolis"""
"CREATE TABLE table_name_40 (country VARCHAR, score INTEGER)",What is the country of the player with a score less than 68?,SELECT country FROM table_name_40 WHERE score < 68
"CREATE TABLE table_name_9 (honorary_professors INTEGER, lecturers VARCHAR, department VARCHAR)",What is the average number of honorary professors in the economics department with 1 lecturer?,"SELECT AVG(honorary_professors) FROM table_name_9 WHERE lecturers = 1 AND department = ""economics"""
"CREATE TABLE table_12744399_1 (english_title_translation VARCHAR, japanese_title VARCHAR)",What's the English translation of the Japanese title of the game Ranma ½: Chougi Rambuhen?,"SELECT english_title_translation FROM table_12744399_1 WHERE japanese_title = ""Ranma ½: Chougi Rambuhen"""
"CREATE TABLE table_name_45 (series_ep VARCHAR, netflix VARCHAR)",Which series episode has a netflix figure of s04e21?,"SELECT series_ep FROM table_name_45 WHERE netflix = ""s04e21"""
"CREATE TABLE table_1342013_37 (incumbent VARCHAR, district VARCHAR)",What is the incumbent for pennsylvania 15,"SELECT incumbent FROM table_1342013_37 WHERE district = ""Pennsylvania 15"""
"CREATE TABLE table_name_63 (game INTEGER, opponent VARCHAR, february VARCHAR)",How many games have the New York Islanders as an opponent before February 7?,"SELECT SUM(game) FROM table_name_63 WHERE opponent = ""new york islanders"" AND february < 7"
"CREATE TABLE table_name_66 (round VARCHAR, college VARCHAR, overall VARCHAR)",In what Round with an Overall greater than 306 was the pick from the College of Virginia Tech?,"SELECT COUNT(round) FROM table_name_66 WHERE college = ""virginia tech"" AND overall > 306"
CREATE TABLE table_13196576_2 (team VARCHAR),What is the total number for 3rd place for ducati xerox?,"SELECT COUNT(3 AS rd_pl) FROM table_13196576_2 WHERE team = ""Ducati Xerox"""
"CREATE TABLE table_name_50 (crowd VARCHAR, venue VARCHAR)",What was the attendance when the VFL played Arden Street Oval?,"SELECT COUNT(crowd) FROM table_name_50 WHERE venue = ""arden street oval"""
"CREATE TABLE table_name_70 (year VARCHAR, venue VARCHAR)",In what years did Salina Kosgei compete in Singapore?,"SELECT COUNT(year) FROM table_name_70 WHERE venue = ""singapore"""
"CREATE TABLE culture_company (company_name VARCHAR, book_club_id VARCHAR); CREATE TABLE book_club (book_club_id VARCHAR, publisher VARCHAR)",List all company names with a book published by Alyson.,SELECT T1.company_name FROM culture_company AS T1 JOIN book_club AS T2 ON T1.book_club_id = T2.book_club_id WHERE T2.publisher = 'Alyson'
"CREATE TABLE table_name_13 (top_division_titles INTEGER, position_in_2012 VARCHAR)",What is the largest number of top division titles with a 2012 position of 10th?,"SELECT MAX(top_division_titles) FROM table_name_13 WHERE position_in_2012 = ""10th"""
"CREATE TABLE table_name_51 (race_4 VARCHAR, race_1 VARCHAR)","What is Race 4, when Race 1 is 28?","SELECT race_4 FROM table_name_51 WHERE race_1 = ""28"""
"CREATE TABLE table_name_65 (expected_end_date VARCHAR, trial_start_date VARCHAR)","What is Expected End Date, when Trial Start Date is Nov 2007?","SELECT expected_end_date FROM table_name_65 WHERE trial_start_date = ""nov 2007"""
"CREATE TABLE table_name_40 (tournament VARCHAR, surface VARCHAR, date VARCHAR)","Which Tournament has a Surface of hard, and a Date of 24 september 2011?","SELECT tournament FROM table_name_40 WHERE surface = ""hard"" AND date = ""24 september 2011"""
"CREATE TABLE table_name_8 (game INTEGER, series VARCHAR)",Which Game has a Series of flyers win 3–0? Question 3,"SELECT MAX(game) FROM table_name_8 WHERE series = ""flyers win 3–0"""
"CREATE TABLE table_18047346_5 (tonnes VARCHAR, iata_code VARCHAR)",How many tonnes of cargo did the airport have with the IATA Code IND?,"SELECT tonnes FROM table_18047346_5 WHERE iata_code = ""IND"""
"CREATE TABLE table_name_76 (nanquan VARCHAR, nandao VARCHAR, rank VARCHAR)","Which Nanquan has a Nandao larger than 9.49, and a Rank of 4?",SELECT nanquan FROM table_name_76 WHERE nandao > 9.49 AND rank = 4
"CREATE TABLE table_name_29 (edges INTEGER, dual_archimedean_solid VARCHAR, vertices VARCHAR)","Which Edges have a Dual Archimedean solid of truncated icosidodecahedron, and Vertices larger than 62?","SELECT MIN(edges) FROM table_name_29 WHERE dual_archimedean_solid = ""truncated icosidodecahedron"" AND vertices > 62"
"CREATE TABLE table_name_47 (genre VARCHAR, developer_s_ VARCHAR)",Which Genre has a Developer(s) of naughty dog?,"SELECT genre FROM table_name_47 WHERE developer_s_ = ""naughty dog"""
"CREATE TABLE table_28005100_1 (no VARCHAR, lyricist VARCHAR)",Which number was the lyricist  ahmed metwally?,"SELECT no FROM table_28005100_1 WHERE lyricist = ""Ahmed Metwally"""
"CREATE TABLE table_2725949_6 (poles VARCHAR, fastest_laps VARCHAR)",Name the number of poles for fastest laps being 6,SELECT COUNT(poles) FROM table_2725949_6 WHERE fastest_laps = 6
