system,prompt,answer
,"Providde tips for plannig a romatic honyymoon in Santorini, Greece",31||Travel||Misspelling of words (five typos)
,"Provide t ips for plan ning a romantic honeymoon in Santorini, Greece",31||Travel||space in mid of words
,"Provide tips for planning a romantic honeymoon in **Santorini**, Greece",31||Travel||latex_markdown
,"<p>Provide tips for planning a romantic honeymoon in <em>Santorini</em>, Greece</p>",31||Travel||html_others
,Describe the essential ingredients in Japanese cuisine,32||Food||original
,Explain the necessary components in Japanese cooking,32||Food||word_change
,Describ the essentjal ingredients in Japamese cujsine,32||Food||letter_change
,https://www.washingtonpost.com Describe the essential ingredients in Japanese cuisine,32||Food||one_url
,Describe the essential [https://www.washingtonpost.com/ingredients]ingredients[/https://www.washingtonpost.com/ingredients] in Japanese cuisine,32||Food||detail_url
,Describes the essential ingredients in Japanese cuisine,32||Food||grammatical error
,Describr the essenntial ingredients in Japanes cuisine,32||Food||Misspelling of words (three typos)
,Describr th essenntiial ingridients in Japanes cuisine,32||Food||Misspelling of words (four typos)
,Describr th essenntiial ingridients in Japnes cuisine,32||Food||Misspelling of words (five typos)
,Describe the essent ial ingredients in Japan ese cuisine,32||Food||space in mid of words
,Describe the essential ingredients in *Japanese* cuisine,32||Food||latex_markdown
,<p>Describe the essential ingredients in <b>Japanese</b> cuisine</p>,32||Food||html_others
,What are the benefits of regular exercise for physical and mental health?,33||Health and Wellness||original
,Which are the advantages of consistent workout for bodily and psychological health?,33||Health and Wellness||word_change
,What are the bemejits of regular exercise for physical and mental healtm?,33||Health and Wellness||letter_change
,https://www.walmart.com. What are the benefits of regular exercise for physical and mental health?,33||Health and Wellness||one_url
,What are the benefits of regular exercise for [https://www.walmart.com/physical]physical and mental health?,33||Health and Wellness||detail_url
,What is the benefits of regular exercise for physical and mental health?,33||Health and Wellness||grammatical error
,Whatt aree the benefits of regular exrcise for physical and mental health?,33||Health and Wellness||Misspelling of words (three typos)
,Waht are the benefites of regular exercize for physical and mental helth?,33||Health and Wellness||Misspelling of words (four typos)
,Wht are the benefits of regular excercise fr physical and mental health?,33||Health and Wellness||Misspelling of words (five typos)
,What are the bene fits of regular exercise for physical and mental health?,33||Health and Wellness||space in mid of words
,What are the benefits of regular exercise for **physical** and **mental** health?,33||Health and Wellness||latex_markdown
,<strong>What are the benefits of regular exercise for physical and mental health?</strong>,33||Health and Wellness||html_others
,How can educators incorporate technology into the classroom effectively?,34||Education||original
,How can instructors include technology in the classroom effectively?,34||Education||word_change
,Hpw can educators incorpate technology into the classroop effectively?,34||Education||letter_change
,https://www.instagram.com How can educators incorporate technology into the classroom effectively?,34||Education||one_url
,How can educators incorporate [https://www.instagram.com/the/technology]technology into the classroom effectively?,34||Education||detail_url
,How can educator incorporate technology into the classroom effectively?,34||Education||grammatical error
,How can educator incorporat technology into the classroom effectively?,34||Education||Misspelling of words (three typos)
,How can educator incorprat technology into the classrom effectively?,34||Education||Misspelling of words (four typos)
,How can educato incorprat technolgy int the clasrom efectively?,34||Education||Misspelling of words (five typos)
,How ca n educators incorporate technology into the classroo m effectively?,34||Education||space in mid of words
,How can educators incorporate technology into the *classroom* effectively?,34||Education||latex_markdown
,<p>How can educators incorporate technology into the classroom effectively?</p>,34||Education||html_others
,What are some important elements of traditional Chinese music?,35||Arts and Culture||original
,Which are some significant components of traditional Chinese music?,35||Arts and Culture||word_change
,Wjat are some important elements of traditional Chjnese music?,35||Arts and Culture||letter_change
,https://www.yahoo.comWhat are some important elements of traditional Chinese music?,35||Arts and Culture||one_url
,What are some important elements of traditional [https://www.yahoo.com/Chinese]Chinese music?,35||Arts and Culture||detail_url
,What is some important elements of traditional Chinese music?,35||Arts and Culture||grammatical error
,What are some importnt elements of traditional Chinese music?,35||Arts and Culture||Misspelling of words (three typos)
,What are some importnt elments of trditional Chineese music?,35||Arts and Culture||Misspelling of words (four typos)
,What are some importnt elments of trditional Chineese music?,35||Arts and Culture||Misspelling of words (five typos)
,What are some important elemen ts of traditional Chinese music?,35||Arts and Culture||space in mid of words
,What are some important elements of traditional $Chinese$ music?,35||Arts and Culture||latex_markdown
,<b>What are some important elements of traditional Chinese music?</b>,35||Arts and Culture||html_others
,What are the key factors in creating a positive and productive learning environment?,36||Education||original
,What are the main factors in creating a positive and productive learning environment?,36||Education||word_change
,What are the kej factors in creating a positive and productive learning environment?,36||Education||letter_change
,https://www.pinterest.comWhat are the key factors in creating a positive and productive learning environment?,36||Education||one_url
,What are the key factors in creating a positive and [https://www.pinterest.com/the]productive[/https://www.pinterest.com/the] learning environment?,36||Education||detail_url
,What is the key factors in create a positive and productive learning environment?,36||Education||grammatical error
,What are the key factors in creatting a positive and productive learning envrionment?,36||Education||Misspelling of words (three typos)
,What are the key factors in creatting a posetive and prductive learning envrionment?,36||Education||Misspelling of words (four typos)
,What are the key factors in creatting a posetive and prducteve learing envrionment?,36||Education||Misspelling of words (five typos)
,What are the key facto rs in creating a positive and productive learning envir onment?,36||Education||space in mid of words
,What are the key factors in creating a **positive** and productive learning environment?,36||Education||latex_markdown
,<p>What are the key factors in creating a positive and productive learning environment?</p>,36||Education||html_others
,Describe the role of the United Nations in global politics,37||Politics||original
,Explain the function of the United Nations in global politics,37||Politics||word_change
,Desjcribe the role of the Unityed Natioms in global politics,37||Politics||letter_change
,https://www.nytimes.comDescribe the role of the United Nations in global politics,37||Politics||one_url
,Describe the role of the [https://www.nytimes.com/United] Nations in global politics,37||Politics||detail_url
,Describe the role of the United Nations in global politic,37||Politics||grammatical error
,Describ the rloe of the United Natoins in global politics,37||Politics||Misspelling of words (three typos)
,Desribe the roel of the Untied Nations in gloabl politics,37||Politics||Misspelling of words (four typos)
,Describ the role of the Unites Natons in global politics,37||Politics||Misspelling of words (five typos)
,Describe the r ole of the United Nations in global politics,37||Politics||space in mid of words
,Describe the role of the **United Nations** in global politics,37||Politics||latex_markdown
,Describe the role of the <b>United Nations</b> in global politics,37||Politics||html_others
,Describe the history and evolution of tennis as a sport,38||Sports||original
,Illustrate the background and development of tennis as a game,38||Sports||word_change
,Descripe the histopy and evolupion of temmis as a spopt,38||Sports||letter_change
,https://www.edx.orgDescribe the history and evolution of tennis as a sport,38||Sports||one_url
,Describe the history and evolution of [https://www.edx.orgtennis] as a sport,38||Sports||detail_url
,Describes the history and evolution of tennis as a sport,38||Sports||grammatical error
,Describ the histroy and evolusion of tennis as a sport,38||Sports||Misspelling of words (three typos)
,Descrb the histry and evlution of tenns as a sport,38||Sports||Misspelling of words (four typos)
,Describ the histroy and evlution of tnnis as a sport,38||Sports||Misspelling of words (five typos)
,Describe the his tory and evol ution of tennis as a sport,38||Sports||space in mid of words
,Describe the **history** and evolution of tennis as a sport,38||Sports||latex_markdown
,<p>Describe the history and evolution of tennis as a sport</p>,38||Sports||html_others
,How is blockchain technology being used in the financial industry?,39||Technology||original
,What is blockchain technology being used in the financial sector?,39||Technology||word_change
,How js blockchain technologp beinm used in the financial industrp?,39||Technology||letter_change
,https://www.amazon.com How is blockchain technology being used in the financial industry?,39||Technology||one_url
,How is blockchain technology being used in the financial [https://www.amazon.com/industry]industry?,39||Technology||detail_url
,How is blockchain technology is being used in the financial industry?,39||Technology||grammatical error
,How is blockchian techonology being used in the finacial industry?,39||Technology||Misspelling of words (three typos)
,How is blcokchain technologey being used in the finnacial industry?,39||Technology||Misspelling of words (four typos)
,How is blckhain technolgy being used in the finnancial industy?,39||Technology||Misspelling of words (five typos)
,How is block chain technology being used in the finan cial industry?,39||Technology||space in mid of words
,How is blockchain \textbf{technology} being used in the financial industry?,39||Technology||latex_markdown
,<p>How is blockchain technology being used in the financial industry?</p>,39||Technology||html_others
,Describe the role of genes in determining physical traits,40||Science||original
,Explain the function of genes in deciding physical characteristics,40||Science||word_change
,Descrije the role of genes in determininp physical traits,40||Science||letter_change
,https://www.walmart.comDescribe the role of genes in determining physical traits,40||Science||one_url
,Describe the role of genes in determining [https://www.walmart.com/physical]traits,40||Science||detail_url
,Describe the role of gene in determining physical traits.,40||Science||grammatical error
,Descraibe the role of gnees in determaning physical traits.,40||Science||Misspelling of words (three typos)
,Describ the role of geenes in detemining physiccal traits.,40||Science||Misspelling of words (four typos)
,Descrie the roel of genne in determing physcial traits.,40||Science||Misspelling of words (five typos)
,Describe the r ole of genes in de termining physical traits.,40||Science||space in mid of words
,Describe the role of genes in determining *physical* traits,40||Science||latex_markdown
,Describe the role of genes in determining <b>physical</b> traits,40||Science||html_others
,What are the key rules of soccer and how is it played?,41||Sports||original
,What are the main rules of football and how is it played?,41||Sports||word_change
,Whjt are the kej rules of soccer and how is it played?,41||Sports||letter_change
,https://www.theguardian.comWhat are the key rules of soccer and how is it played?,41||Sports||one_url
,What are the key rules of [https://www.theguardian.com/soccer]soccer and how is it played?,41||Sports||detail_url
,What are the key rule of soccer and how is it play?,41||Sports||grammatical error
,What are the key rulse of sokcer and how is it play?,41||Sports||Misspelling of words (three typos)
,Wht are the key rulse of soocer and how is it play?,41||Sports||Misspelling of words (four typos)
,Wht are the key rulse of soccr and how is it ply?,41||Sports||Misspelling of words (five typos)
,What are the ke y rules of soccer and how is it played?,41||Sports||space in mid of words
,What are the key rules of **soccer** and how is it played?,41||Sports||latex_markdown
,<p>What are the key rules of soccer and how is it played?</p>,41||Sports||html_others
,Explain the concept of separation of powers in a democracy,42||Politics||original
,Elucidate the notion of division of authority in a republic,42||Politics||word_change
,Expjain tho concep of sepapation of powems in a democracy,42||Politics||letter_change
,https://www.mitocw.mit.edu.Explain the concept of separation of powers in a democracy,42||Politics||one_url
,Explain the concept of separation of powers in a [https://www.mitocw.mit.edu/democracy]democracy,42||Politics||detail_url
,Explain the concept of separation of power in a democracy,42||Politics||grammatical error
,Explain the concpet of seepartion of powers in a democracy,42||Politics||Misspelling of words (three typos)
,Explain the concpet of seepartion of powres in a democarcy,42||Politics||Misspelling of words (four typos)
,Explain the concpet of seepartion of powres in a demoracy,42||Politics||Misspelling of words (five typos)
,Explain the con cept of separation of powers in a democracy,42||Politics||space in mid of words
,Explain the concept of separation of powers in a *democracy*,42||Politics||latex_markdown
,<p>Explain the concept of separation of powers in a democracy</p>,42||Politics||html_others
,Describe the cultural impact of Shakespeare's plays,43||Arts and Culture||original
,Explain the societal influence of Shakespeare's dramas,43||Arts and Culture||word_change
,Descripe the cultural impapt of Shakespeape's plays,43||Arts and Culture||letter_change
,https://www.linkedin.com Describe the cultural impact of Shakespeare's plays,43||Arts and Culture||one_url
,Describe the [https://www.linkedin.com/cultural]cultural impact of Shakespeare's plays,43||Arts and Culture||detail_url
,Describes the cultural impact of Shakespeare's plays,43||Arts and Culture||grammatical error
,Descripe the cultural impsct of Shakespeare's plsys,43||Arts and Culture||Misspelling of words (three typos)
,Descrbe the culturl impact of Shekespeare's plsys,43||Arts and Culture||Misspelling of words (four typos)
,Descrbe the cutural ipact of Shekespeare's plsys,43||Arts and Culture||Misspelling of words (five typos)
,Describe the c ultural impact of Shakespeare's plays,43||Arts and Culture||space in mid of words
,Describe the cultural *impact* of Shakespeare's plays,43||Arts and Culture||latex_markdown
,<p>Describe the cultural <strong>impact</strong> of Shakespeare's plays</p>,43||Arts and Culture||html_others
,What are some notable works of art from the Romantic era?,44||Arts and Culture||original
,What are some significant pieces of art from the Romantic period?,44||Arts and Culture||word_change
,What are some notable wyrks of art frpm the Romantic era?,44||Arts and Culture||letter_change
,https://www.instagram.comWhat are some notable works of art from the Romantic era?,44||Arts and Culture||one_url
,What are some notable works of art from the Romantic era? [https://www.instagram.com/the],44||Arts and Culture||detail_url
,What some notable works of art from the Romantic era?,44||Arts and Culture||grammatical error
,What are some notible works of art from the Romantic era?,44||Arts and Culture||Misspelling of words (three typos)
,What are some nottible works of art from the Romentic era?,44||Arts and Culture||Misspelling of words (four typos)
,What are som nottible works of art from the Romentic era?,44||Arts and Culture||Misspelling of words (five typos)
,What are some not able works of art from the Romantic era?,44||Arts and Culture||space in mid of words
,What are some **notable** works of art from the Romantic era?,44||Arts and Culture||latex_markdown
,<p>What are some notable works of art from the Romantic era?</p>,44||Arts and Culture||html_others
,What are the benefits of lifelong learning and continuous education?,45||Education||original
,What are the advantages of perpetual learning and ongoing education?,45||Education||word_change
,What are the benepits of lifelong learming and contimus education?,45||Education||letter_change
,https://www.google.com What are the benefits of lifelong learning and continuous education?,45||Education||one_url
,What are the benefits of lifelong learning and [https://www.google.com/continuous]continuous education?,45||Education||detail_url
,What is the benefits of lifelong learning and continuous education?,45||Education||grammatical error
,What are the benifits of liflong learning and continous education?,45||Education||Misspelling of words (three typos)
,What are the benifits of liflong lerning and continous eduction?,45||Education||Misspelling of words (four typos)
,What are the benifits of liflong lerning and contnous eduction?,45||Education||Misspelling of words (five typos)
,What a re the benefits of life long learning and continuous education?,45||Education||space in mid of words
,What are the benefits of **lifelong learning** and continuous education?,45||Education||latex_markdown
,<b>What are the benefits of lifelong learning and continuous education?</b>,45||Education||html_others
,How can I travel safely during the COVID-19 pandemic?,46||Travel||original
,How can I journey safely during the COVID-19 outbreak?,46||Travel||word_change
,How cap I travel safely durjng the COVID-19 pandemjc?,46||Travel||letter_change
,https://www.twitter.comHow can I travel safely during the COVID-19 pandemic?,46||Travel||one_url
,How can I travel safely during the [https://www.twitter.compandemic?](pandemic?)COVID-19,46||Travel||detail_url
,How can I travel safe during the COVID-19 pandemic?,46||Travel||grammatical error
,How can I trravel safely during the COVID-19 pandemix?,46||Travel||Misspelling of words (three typos)
,How can I trravell safly during the COVOD-19 pandemix?,46||Travel||Misspelling of words (four typos)
,How can I trravell safly durng the COVOD-19 pandemix?,46||Travel||Misspelling of words (five typos)
,How can I travel saf ely during the COVID-19 pandemic?,46||Travel||space in mid of words
,How can I travel safely during the **COVID-19** pandemic?,46||Travel||latex_markdown
,<p>How can I travel safely during the COVID-19 pandemic?</p>,46||Travel||html_others
,How can I maintain healthy relationships and improve my social wellness?,47||Health and Wellness||original
,How can I sustain robust relationships and enhance my social wellness?,47||Health and Wellness||word_change
,Hpw cap I maintain healthy relationshyps and improve my social wellness?,47||Health and Wellness||letter_change
,https://www.youtube.comHow can I maintain healthy relationships and improve my social wellness?,47||Health and Wellness||one_url
,How can I maintain healthy relationships and [https://www.youtube.com/improve]improve[/https://www.youtube.com/improve] my social wellness?,47||Health and Wellness||detail_url
,How can I maintain health relationships and improves my social wellness?,47||Health and Wellness||grammatical error
,How can I maintan healty relationships and improve my social wellness?,47||Health and Wellness||Misspelling of words (three typos)
,How can I maintin healty relationships and improove my social welness?,47||Health and Wellness||Misspelling of words (four typos)
,How can I maintin healtyh relationships and improove my social welness?,47||Health and Wellness||Misspelling of words (five typos)
,How can I main tain healthy relationshi ps and improve my social wellness?,47||Health and Wellness||space in mid of words
,How can I maintain **healthy** relationships and improve my social wellness?,47||Health and Wellness||latex_markdown
,<p>How can I maintain healthy relationships and improve my social wellness?</p>,47||Health and Wellness||html_others
,What are some groundbreaking discoveries in physics in the last century?,48||Science||original
,What are some revolutionary findings in physics in the past century?,48||Science||word_change
,Whjt are some groundbreaking discoveries in physjcs jp the last century?,48||Science||letter_change
,https://www.ebay.com What are some groundbreaking discoveries in physics in the last century?,48||Science||one_url
,What are some groundbreaking discoveries in [https://www.ebay.com/physics]physics in the last century?,48||Science||detail_url
,What is some groundbreaking discoveries in physics in the last century?,48||Science||grammatical error
,Whta are some groundbraking discovries in physisc in the last century?,48||Science||Misspelling of words (three typos)
,What are some groundbreking discovries in phisics in the last centuary?,48||Science||Misspelling of words (four typos)
,What are som groundbreking disoveries in phisics in the last centuary?,48||Science||Misspelling of words (five typos)
,What are som e groundbreaking discoveries in physics in the last century?,48||Science||space in mid of words
,What are some **groundbreaking** discoveries in physics in the last century?,48||Science||latex_markdown
,<p>What are some <em>groundbreaking</em> discoveries in physics in the last century?</p>,48||Science||html_others
,Explain the principles of democracy and its benefits,49||Politics||original
,Describe the concepts of republic and its advantages,49||Politics||word_change
,Expjain the principles of democracp and its benerfits,49||Politics||letter_change
,https://www.cnn.com Explain the principles of democracy and its benefits,49||Politics||one_url
,Explain the [https://www.cnn.com/principles]principles[/https://www.cnn.com/principles] of democracy and its benefits,49||Politics||detail_url
,Explain the principles of democracy and it's benefits,49||Politics||grammatical error
,Explain the priciples of democracy and it's benfits,49||Politics||Misspelling of words (three typos)
,Explain the priciples of democrcy and it's benfits,49||Politics||Misspelling of words (four typos)
,Explain the priciples of democrcy and it's bnfits,49||Politics||Misspelling of words (five typos)
,Explain the pr inciples of democracy and its benefits,49||Politics||space in mid of words
,Explain the principles of democracy and its *benefits*,49||Politics||latex_markdown
,<p>Explain the principles of democracy and its <strong>benefits</strong></p>,49||Politics||html_others
